Abstract,Date,Days,Downloads,Impact,Refrences,Search,Views,url
" Social and demographic aspects can explain the dramatic involvement of some provinces. A strong evidence is found that strict control measures implemented in some provinces efficiently break contagions and limit the spread to nearby areas. While policies to contain the 1 spreading of the disease may potentially be more effective if planned considering the peculiarities of local territories, the effective and homogeneous enforcement of control measures at national level is imperative to prevent the disease control being delayed or missed as a whole. This may also apply at international level where, as it is for the EU or the USA, the internal border checks among states have largely been abolished.",2020-04-01,24.0,672.0,28.0,21.0,Modelling and Predicting the Spatio-Temporal Spread of Coronavirus Disease 2019 (COVID-19) in Italy,222.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559569
" Although the number of confirmed patients of COVID-19 in South Korea is still increasing, the upward slope tends to decrease. The efforts of the government, society, and medical staffs contributed greatly to prevent the spread of the disease. The messages given by the situation in South Korea would give clues to other countries to prevent the spread of COVID-19.",2020-04-01,24.0,548.0,22.833333333333332,34.0,Epidemiology and Important Lessons from the Coronavirus Disease 2019 (COVID-19) Outbreak in South Korea,102.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559575
" The applicability of our model to the COVID-19 transmission dynamics in both countries relies on taking into account the strict containment measures that were implemented, such as the timely confirmation of the infected, the extensive efforts to isolate the infected, and the tracing and quarantining of their contacts. With these measures put in place, we expect the actual transmission dynamics to follow our model.",2020-04-01,24.0,454.0,18.916666666666668,12.0,Redefined Epidemiological Model Predicts COVID-19 Spread in Mainland China and South Korea,95.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559580
" OMSS is an effective screening tool to assess the capability to maintain the balance of oxygen supply and consumption in COVID-19 patients by which physicians can shorten the reaction time to execute rational respiratory support therapies, thus preventing hypoxemia-associated negative events.",2020-04-01,24.0,282.0,11.75,33.0,Oxygen Metabolism Score Directed Respiratory Support for 2019 Novel Coronavirus Pneumonia,42.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559582
 COVID-19 patients in Guangxi mainly presented as family clustering. Pulmonary fibrosis occurred in some patients. The number of viral nucleic acid tests in different samples of the body and the chest imaging characteristics of more patients should be further explored. ,2020-04-01,24.0,333.0,13.875,27.0,"Clinical Characteristics of 85 Patients Infected by SARS-CoV-2 in Guangxi, China",61.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559599
" To prevent fatality in such conditions, we suggested a high degree of caution in monitoring the kidney functions of severe COVID-19 patients regardless of the past disease history. In addition, upon day-by-day monitoring, clinicians should consider any potential interventions to protect kidney functions at the early stage of the disease and renal replacement therapies in severely ill patients, particularly for those with strong inflammatory reactions or a cytokine storm.  ",2020-04-01,24.0,751.0,31.291666666666668,15.0,Caution on Kidney Dysfunctions of COVID-19 Patients,230.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559601
" The COVID-19 has a clustering morbidity trend and older people with chronic diseases are more likely to die, such as chronic renal insufficiency and chronic cardiovascular disease. The COVID-19 score system was validated to predict the clinical outcome of a patient. The investigators of this research further developed a prognostic scoring system to distinguish early stage pneumonia from advanced pneumonia. ",2020-04-01,24.0,402.0,16.75,18.0,Accurate Classification System for Patients with COVID-19 Based on Prognostic Nomograms,90.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559603
" While we found no significant evidence that ACE2 is associated with disease severity/sex bias in the Italian population, TMPRSS2 levels and genetic variants proved to be possible candidate disease modulators, contributing to the observed epidemiological data among Italian patients. ",2020-04-01,24.0,809.0,33.708333333333336,44.0,ACE2 and TMPRSS2 Variants and Expression as Candidates to Sex and Country Differences in COVID-19 Severity in Italy,256.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559608
" The results consist of a series of maps of effective distance, outbreak probability, hospital capacity and social vulnerability.  They show areas in the North and Northeast with high risk of COVID-19 outbreak that are also highly vulnerable.  ",2020-04-01,24.0,506.0,21.083333333333332,22.0,"Assessing the Potential Impact of COVID-19 in Brazil: Mobility, Morbidity and the Burden on the Health Care System",143.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559609
" The novel method accurately detected 8/10 PCR positive cases and identified a further 3 positive cases. Eight further cases were negative using both methods. Using repeated RT-PCR as a “gold standard”, the sensitivity and specificity of the novel test were 80% and 73% respectively. Positive predictive value (PPV) was 73% and negative predictive value (NPV) was 83%. We also observed hypothermia to be a significant early clinical sign in a number of COVID-19 patients in this setting.",2020-03-31,25.0,306.0,12.24,15.0,Detecting SARS-CoV-2 at Point of Care: Preliminary Data Comparing Loop-Mediated Isothermal Amplification (LAMP) to PCR,1393.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3564906
" The quartic model showed the best fit. For almost all areas in mainland China, the speed of infections reached Speedmax and began to decline within 14 days; exceptions were Hebei, Heilongjiang, Hainan, Guizhou, and Hubei. The number of plateaus was significantly correlated with the emigration index. However, the distance from other areas to Hubei and the number of plateaus had little influence on when a province or area arrived at Speedmax. Once strict intervention strategies were implemented, diffusion and deterioration of COVID-19 were inhibited quickly and effectively over China.",2020-03-31,25.0,267.0,10.68,15.0,Effects of Chinese Strategies for Controlling the Growth Speed of the Cumulative Confirmed Cases of Novel Coronavirus–Infected Pneumonia in China,33.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557983
 The proposed model can be effectively used for finding out the mild patients who are easy to deteriorate into severe/critical cases so that such patients get timely treatments while alleviating the limitations of medical resources.,2020-03-31,25.0,400.0,16.0,38.0,Predicting COVID-19 Malignant Progression with AI Techniques,84.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557984
" The findings of this systematic review should act as a guide for clinicians in interpreting CT scans of patients where COVID-19 is suspected. As research progresses, new radiographic findings may emerge, and clinicians should adapt as evidence emerges. ",2020-03-31,25.0,508.0,20.32,51.0,Radiographic Presentation of COVID-19: A Systematic Review,95.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557985
" While the results might not be the same in societies with different levels of trust towards relevant governmental and professional institutions, and variances in self-protective behaviours scores explained by our model are modest, even a small boost in engagement in self-protective behaviours could go a long way in viral epidemics like the one we are faced with today.",2020-03-31,25.0,507.0,20.28,22.0,The Role of Information Credibility in Emotional Responses and Engagement in Self-Protective Behaviour within Days of the COVID-19 Outbreak: A Cross-Sectional Study,95.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557986
" Of 1607 respondents, 1588 returned valid questionnaires and were included in the analysis. Nearly one quarter (22.8%) had high levels of psychological distress (K6 score ≥ 13). Individuals with higher psychological distress spent more time searching for information about COVID-19, had a history of contact with epidemic areas, more frequently adopted a negative coping style, and reported less social support than those with lower psychological distress.",2020-03-31,25.0,424.0,16.96,35.0,"Coping Style, Social Support and Psychological Distress in the General Chinese Population in the Early Stages of the COVID-2019 Epidemic",106.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3556633
" To prevent fatality in such conditions, we suggested a high degree of caution in monitoring the kidney functions of severe COVID-19 patients regardless of the past disease history. In addition, upon day-by-day monitoring, clinicians should consider any potential interventions to protect kidney functions at the early stage of the disease and renal replacement therapies in severely ill patients, particularly for those with strong inflammatory reactions or a cytokine storm.",2020-03-31,25.0,365.0,14.6,32.0,"Kidney Dysfunctions of COVID-19 Patients: A Multi-Centered, Retrospective, Observational Study",55.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3556634
 Population aging is a significant factor driving high COVID-19 death rates in Italy. Despite a well-structured healthcare system the explosive epidemic has heavily impacted on the elderly. Further studies are required to delineate other factors in geographical differences in death rates. ,2020-03-31,25.0,416.0,16.64,15.0,"Higher Death Rates in the Italian COVID-19 Outbreak: A Comparative Modelling Analysis of 8,342 Italy and 44,672 China Cases",71.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3556640
" Perceived stress of men and women during quarantine for the COVID-19 outbreak was both closely related to their daily life during their restriction at home, although there were identifiable gender differences. Our findings will help shape improved policies and interventions to help reduce stress, and thereby improve both mental and physical health, during future infectious disease outbreaks. ",2020-03-31,25.0,414.0,16.56,34.0,"Association Between Quarantined Living Circumstances and Perceived Stress in Wuhan City During the COVID-19 Outbreak: A Rapid, Exploratory Cross-Sectional Study",96.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3556642
