Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
159,50.0,0.069,"poor, associate, prognosis, underlie, disease, age, level, impair, diabetes, abnormality"," Severe COVID-19 developed preferentially in patients with underlying compromised immunity and was not associated with initial virus levels. Higher SARS-CoV-2 RNA levels in severe cases were apparently a result of impaired immune control that was subsequently associated with dysregulation of inflammation in these patients. Early antiviral intervention, if available, may be necessary to prevent severe COVID-19 in immune impaired patients."
160,33.0,0.3556,"study, treatment, trial, phase, clinical, chinese, medicine, effective, preliminary, integrate"," There were 226 clinical trials on COVID-19 in the two databases, all of which were registered by research units in China. The top five registered areas were Hubei, Beijing, Shanghai, Guangdong, and Zhejiang. Study type: intervention study (207, 91.6%), observational study (18, 8.0%). Clinical trial staging: exploratory studies/preliminary trials (91, 40.3%), phase I trials (4, 1.8%), phase II trials (12, 5.3%), phase III trials (12, 5.3%), phase IV (47, 20.8%), phase I/II (2, 0.9%), phase II/III(5, 2.2%), and others (57, 25.2%). Intervention measures: 143(63.3%) trials of western medicine treatment, 50 (22.1%)trials of Chinese medicine treatment, 21(9.3%) trials of integrated Chinese medicine treatment and western medicine treatment. "
161,38.0,0.1021,"health, public, mental, work, state, prioritize, lockdown, significance, carry, learning"," During the outbreak of COVID-19, the incidences of anxiety and depressive symptoms both increased, and the rate increased with the severity of the epidemic. It is necessary to conduct mental health monitoring of residents during the outbreak, and optimize public service announcements to improve mental health."
162,31.0,0.0556,"severe, patient, significantly, year, male, age, positively, mild, detect, gold"," Age significantly determined the clinical features and prognosis of the disease. The prognosis was worse in patients older than 60 years, calling for clinicians to pay more attention to patients on this special age. "
163,49.0,0.1144,"intervention, measure, outbreak, strict, implement, current, individual, maintain, decline, beijing"," It’s suggested that Italy's current strict measures continue to be implemented, and necessary strict public health measures be implemented as soon as possible in other European countries with a high number of COVID-19 cases."
164,36.0,0.1256,"china, epidemic, hubei, area, region, reach, quickly, delay, underestimate, mainland", The instant case fatality rate of COVID-19 in China was much higher than that in China except Hubei. The instant cure rate in China except Hubei was higher than that in China. The fatality rate of COVID-19 in China was underestimated.
165,45.0,0.095,"country, time, index, month, presence, travel, establish, testing, australia, maker"," Our findings identify the risk reduction potential of current travel bans, based on the proportion of returning travellers to Australia that are residents or visitors. The similarity of the exponential growth in the epidemic curve in Australia to other countries guides forecasts of COVID-19 growth in Australia, and opportunities for drawing lessons from other countries with more advanced outbreaks. "
166,16.0,0.1744,"increase, covid, severity, related, decrease, enhance, human, datum, guideline, fatality", Viral load was not related to the severity of COVID-19 in early stage of COVID-19. Male and delayed diagnosis increased a risk of enhancing COVID-19 severity while decreased the risk with increasing generation of infection. SARS-CoV-2 may increase human-to-human transmissibility through long term replication within individual human host.
167,71.0,0.1464,"number, method, estimate, time, cfr, reduce, optimal, resource, study, government"," During the epidemic of COVID-19, the previously used binomial probability method not only underestimates the CFR of COVID-19, but also leads to a false increasing trend over time. A survival analysis method is recommended for estimating CFR during the COVID-19 epidemic. The current CFR estimate for China including Hubei is 4.6%, about 5 times the value for China of outside Hubei (0.92%). There has been a CFR decreasing trend during the epidemic."
168,60.0,0.332,"prevent, authority, future, medical_staff, research, hospital, cross, action, outpatient, citizen"," The Wuhan authorities restricted citizens' freedom of expression, prevent Dr.Li from warning citizen and medical staff about infectivity of COVID-19. The administrative actions of Wuhan authorities artificially creating hospital outpatient cross-infection and additional close contacts. The influence of authorities infringe upon human rights on epidemic prevention need special research by future studies."
169,15.0,0.1033,"lymphocyte, count, subset, low, neutrophil, lymphocyte_count, white, reactive_protein, ast, trend"," The study enrolled 110 patients, comprising 88 COVID-19 patients and 22 non-COVID-19 pneumonia cases. We observed significant differences, including abnormal biochemical indices (CRP, LDH, AST, eGFR, and sodium ion concentration) and reduced lymphocyte subsets count, between the COVID-19 patients and non-COVID-19-caused pneumonia cases. Correlation analysis indicates that the count for lymphocyte subsets-but not that for neutrophils and monocytes-exhibits a significant negative correlation with biochemical indices relating to organ injury, in the COVID-19 infected patients. "
170,40.0,0.0642,"infection, virus, group, covid, high, flu, influenza, respiratory, upper, diagnose"," EBV acute infection was found in COVID-19 patients. EBV seropositivity was associated with fever, increased inflammation and cellular immune response in COVID-19 patients. EBV reactivation should be considered in treating COVID-19."
